Date,y
2013-10-20,1112.0
2013-10-21,3006.0
2013-10-22,3162.0
2013-10-23,3084.0
2013-10-24,3015.0
2013-10-25,2435.0
2013-10-26,1270.0
2013-10-27,778.0
2013-10-28,3328.0
2013-10-29,3352.0
2013-10-30,2954.0
2013-10-31,2573.0
2013-11-01,2812.0
2013-11-02,670.0
2013-11-03,1325.0
2013-11-04,3058.0
2013-11-05,2789.0
2013-11-06,2918.0
2013-11-07,1709.0
2013-11-08,2632.0
2013-11-09,1193.0
2013-11-10,990.0
2013-11-11,2661.0
2013-11-12,2416.0
2013-11-13,3067.0
2013-11-14,2591.0
2013-11-15,2063.0
2013-11-16,1121.0
2013-11-17,966.0
2013-11-18,2112.0
2013-11-19,2309.0
2013-11-20,2834.0
2013-11-21,2505.0
2013-11-22,2330.0
2013-11-23,1210.0
2013-11-24,1141.0
2013-11-25,2609.0
2013-11-26,2541.0
2013-11-27,2251.0
2013-11-28,582.0
2013-11-29,1004.0
2013-11-30,865.0
2013-12-01,681.0
2013-12-02,2283.0
2013-12-03,2211.0
2013-12-04,2078.0
2013-12-05,1938.0
2013-12-06,1694.0
2013-12-07,591.0
2013-12-08,473.0
2013-12-09,1793.0
2013-12-10,1870.0
2013-12-11,2136.0
2013-12-12,1934.0
2013-12-13,1769.0
2013-12-14,884.0
2013-12-15,755.0
2013-12-16,2500.0
2013-12-17,2232.0
2013-12-18,2171.0
2013-12-19,2075.0
2013-12-20,739.0
2013-12-21,520.0
2013-12-22,400.0
2013-12-23,1417.0
2013-12-24,1082.0
2013-12-25,371.0
2013-12-26,1190.0
2013-12-27,1066.0
2013-12-28,875.0
2013-12-29,684.0
2013-12-30,1722.0
2013-12-31,1419.0
2014-01-01,914.0
2014-01-02,1865.0
2014-01-03,2027.0
2014-01-04,1172.0
2014-01-05,1151.0
2014-01-06,2304.0
2014-01-07,2082.0
2014-01-08,1948.0
2014-01-09,2120.0
2014-01-10,1780.0
2014-01-11,423.0
2014-01-12,655.0
2014-01-13,2530.0
2014-01-14,2808.0
2014-01-15,2772.0
2014-01-16,2641.0
2014-01-17,2310.0
2014-01-18,1135.0
2014-01-19,822.0
2014-01-20,1874.0
2014-01-21,2680.0
2014-01-22,2692.0
2014-01-23,2649.0
2014-01-24,2521.0
2014-01-25,1441.0
2014-01-26,1429.0
2014-01-27,2499.0
2014-01-28,2466.0
2014-01-29,1899.0
2014-01-30,2229.0
2014-01-31,2035.0
2014-02-01,1134.0
2014-02-02,1095.0
2014-02-03,2290.0
2014-02-04,2091.0
2014-02-05,2588.0
2014-02-06,1562.0
2014-02-07,1572.0
2014-02-08,795.0
2014-02-09,221.0
2014-02-10,1428.0
2014-02-11,2024.0
2014-02-12,2139.0
2014-02-13,2389.0
2014-02-14,1786.0
2014-02-15,658.0
2014-02-16,485.0
2014-02-17,1028.0
2014-02-18,1525.0
2014-02-19,2167.0
2014-02-20,2214.0
2014-02-21,1889.0
2014-02-22,624.0
2014-02-23,691.0
2014-02-24,1557.0
2014-02-25,2563.0
2014-02-26,2960.0
2014-02-27,2721.0
2014-02-28,2829.0
2014-03-01,989.0
2014-03-02,431.0
2014-03-03,1720.0
2014-03-04,2053.0
2014-03-05,1874.0
2014-03-06,1801.0
2014-03-07,2560.0
2014-03-08,726.0
2014-03-09,1142.0
2014-03-10,2145.0
2014-03-11,3416.0
2014-03-12,3665.0
2014-03-13,3313.0
2014-03-14,2216.0
2014-03-15,1177.0
2014-03-16,375.0
2014-03-17,2809.0
2014-03-18,2802.0
2014-03-19,2192.0
2014-03-20,2691.0
2014-03-21,2652.0
2014-03-22,1504.0
2014-03-23,1963.0
2014-03-24,3636.0
2014-03-25,2087.0
2014-03-26,2346.0
2014-03-27,2357.0
2014-03-28,1525.0
2014-03-29,571.0
2014-03-30,1320.0
2014-03-31,3436.0
2014-04-01,3791.0
2014-04-02,3672.0
2014-04-03,2623.0
2014-04-04,2817.0
2014-04-05,1044.0
2014-04-06,1543.0
2014-04-07,4319.0
2014-04-08,2806.0
2014-04-09,3828.0
2014-04-10,3940.0
2014-04-11,3435.0
2014-04-12,2185.0
2014-04-13,2647.0
2014-04-14,4006.0
2014-04-15,3206.0
2014-04-16,2133.0
2014-04-17,1750.0
2014-04-18,2930.0
2014-04-19,906.0
2014-04-20,1734.0
2014-04-21,3401.0
2014-04-22,2635.0
2014-04-23,4068.0
2014-04-24,2511.0
2014-04-25,4394.0
2014-04-26,2167.0
2014-04-27,1402.0
2014-04-28,6623.0
2014-04-29,6894.0
2014-04-30,5167.0
2014-05-01,5937.0
2014-05-02,4608.0
2014-05-03,1157.0
2014-05-04,620.0
2014-05-05,3301.0
2014-05-06,4636.0
2014-05-07,5455.0
2014-05-08,3230.0
